Organization,Country,Lattitude,Longitude,Industry,Organization_size,Owner,Lead_acquisition_date,Product,Status,Status_sequence,Stage,Stage_sequence,Deal_Value_USD,Probability_pct,Expected_close_date,Actual_close_date,lead_year,lead_month,deal_duration_days,close_delay_days,is_won,is_lost,is_closed,is_open,is_saas,org_size_cat
Thoughtblab,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),John Smith,2024-04-20,SAAS,Churned Customer,7,,,833,90,2024-08-07,2024-06-27,2024,2024-04,109,-41.0,False,False,False,False,True,Small (11-200)
Jaxnation,Spain,40.416775,-3.70379,Energy & Utilities,Small (11-200),Emily Johnson,2024-05-28,SAAS,Churned Customer,7,,,1623,30,2024-10-25,2024-09-11,2024,2024-05,150,-44.0,False,False,False,False,True,Small (11-200)
Mybuzz,Italy,41.902782,12.496366,Education & Science,Small (11-200),Michael Brown,2024-03-17,SAAS,Churned Customer,7,,,1928,20,2025-03-17,2024-05-11,2024,2024-03,365,-310.0,False,False,False,False,True,Small (11-200)
Kare,Germany,52.520008,13.404954,Government Administration Healthcare,Small (11-200),Michael Brown,2024-01-18,SAAS,Churned Customer,7,,,303,50,2024-08-07,2024-05-06,2024,2024-01,202,-93.0,False,False,False,False,True,Small (11-200)
Skaboo,Germany,52.520008,13.404954,Energy & Utilities,Small (11-200),Michael Brown,2024-04-06,SAAS,Churned Customer,7,,,1911,30,2024-10-11,2024-07-25,2024,2024-04,188,-78.0,False,False,False,False,True,Small (11-200)
Flashset,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Laura Thompson,2024-02-21,Custom solution,Churned Customer,7,,,455,20,2024-09-23,2024-05-11,2024,2024-02,215,-135.0,False,False,False,False,False,Small (11-200)
Yozio,Belgium,51.260197,4.402771,IT & IT Services,Small (11-200),Laura Thompson,2024-02-13,SAAS,Churned Customer,7,,,351,30,2024-03-18,2024-04-17,2024,2024-02,34,30.0,False,False,False,False,True,Small (11-200)
Tanoodle,Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Jessica Martinez,2024-01-15,Custom solution,Churned Customer,7,,,230,70,2024-05-17,2024-05-11,2024,2024-01,123,-6.0,False,False,False,False,False,Small (11-200)
"Reilly, Wisozk and Stamm",France,48.864716,2.349014,Retail & Distribution,Small (11-200),Michael Brown,2024-03-09,SAAS,Churned Customer,7,,,1697,80,2024-07-25,2024-06-30,2024,2024-03,138,-25.0,False,False,False,False,True,Small (11-200)
O'Conner-Sawayn,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Laura Thompson,2024-04-01,Services,Churned Customer,7,,,320,60,2024-05-24,2024-07-01,2024,2024-04,53,38.0,False,False,False,False,False,Small (11-200)
